customer_id,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
C100004,347,3,2876.66,78.5,70.4,80.42,3.87,Medium Value Customer
C100006,591,3,1048.42,34.45,70.4,45.05,2.53,Low Value Customers
C100019,906,1,600.16,7.46,14.65,32.63,1.19,Lost Customers
C100041,879,1,11.73,9.06,14.65,1.97,0.33,Lost Customers
C100045,511,1,1500.4,45.99,14.65,57.94,2.2,Low Value Customers
C100066,989,2,1236.16,3.24,44.44,51.9,2.13,Low Value Customers
C100090,871,1,162.64,9.52,14.65,18.45,0.8,Lost Customers
C100095,829,1,900.24,12.19,14.65,40.55,1.45,Lost Customers
C100099,823,1,600.16,12.61,14.65,32.63,1.23,Lost Customers
C100105,313,2,1800.48,84.75,44.44,65.35,3.12,Medium Value Customer
C100106,303,5,1552.7,87.36,95.22,61.51,3.74,Medium Value Customer
C100110,356,3,1881.83,76.42,70.4,68.15,3.5,Medium Value Customer
C100112,278,1,11.73,91.99,14.65,1.97,0.95,Lost Customers
C100132,487,4,3514.97,49.79,86.98,87.1,4.07,High value Customer
C100152,337,3,1484.94,80.92,70.4,56.36,3.2,Medium Value Customer
C100155,681,2,1800.48,24.45,44.44,65.35,2.67,Low Value Customers
C100156,123,5,1911.79,97.05,95.22,68.44,4.01,High value Customer
C100157,312,4,1252.62,85.0,86.98,52.64,3.36,Medium Value Customer
C100159,476,3,283.94,51.71,70.4,24.18,2.06,Low Value Customers
C100168,356,4,2248.7,76.42,86.98,72.91,3.87,Medium Value Customer
C100176,61,4,5509.03,98.85,86.98,96.11,4.7,Top Customers
C100181,354,1,143.36,76.85,14.65,16.99,1.27,Lost Customers
C100182,676,1,26.15,24.97,14.65,4.94,0.53,Lost Customers
C100184,894,1,1200.34,8.17,14.65,49.84,1.69,Low Value Customers
C100190,492,2,621.08,48.99,44.44,35.05,1.99,Low Value Customers
C100198,842,1,1500.4,11.32,14.65,57.94,1.94,Low Value Customers
C100201,534,2,1281.64,42.4,44.44,53.36,2.46,Low Value Customers
C100204,334,2,371.76,81.72,44.44,28.97,2.06,Low Value Customers
C100225,381,5,4663.9,70.61,95.22,93.23,4.52,Top Customers
C100236,465,3,4090.9,53.73,70.4,90.04,3.95,Medium Value Customer
C100242,184,3,1505.63,95.26,70.4,59.34,3.39,Medium Value Customer
C100246,290,3,6900.75,88.5,70.4,98.46,4.46,High value Customer
C100261,703,2,4350.32,22.29,44.44,91.83,3.41,Medium Value Customer
C100272,805,2,1121.68,13.84,44.44,46.47,2.05,Low Value Customers
C100283,182,3,2100.56,95.86,70.4,70.42,3.71,Medium Value Customer
C100284,345,4,2975.74,78.99,86.98,80.75,4.11,High value Customer
C100285,339,4,1261.68,80.42,86.98,52.89,3.33,Medium Value Customer
C100291,651,2,900.25,27.52,44.44,41.79,2.02,Low Value Customers
C100297,866,3,702.07,9.87,70.4,37.27,2.12,Low Value Customers
C100298,123,2,107.52,97.05,44.44,14.58,1.77,Low Value Customers
C100299,357,1,3000.85,76.17,14.65,81.7,3.1,Medium Value Customer
C100301,515,2,1536.24,45.34,44.44,60.89,2.7,Low Value Customers
C100309,359,3,1073.34,75.69,70.4,45.78,2.86,Low Value Customers
C100311,122,2,117.16,97.34,44.44,14.85,1.78,Low Value Customers
C100315,597,2,215.04,33.7,44.44,22.46,1.51,Lost Customers
C100322,369,3,650.84,73.22,70.4,36.24,2.57,Low Value Customers
C100331,154,2,2003.81,96.19,44.44,69.43,3.32,Medium Value Customer
C100336,481,6,2632.95,50.85,98.47,78.03,3.98,Medium Value Customer
C100346,520,1,179.2,44.53,14.65,19.82,1.1,Lost Customers
C100349,1013,1,162.64,2.16,14.65,18.45,0.75,Lost Customers
C100355,122,2,1703.7,97.34,44.44,64.29,3.18,Medium Value Customer
C100368,826,2,1650.16,12.39,44.44,63.39,2.52,Low Value Customers
C100404,1051,1,162.64,0.54,14.65,18.45,0.73,Lost Customers
C100406,675,2,2400.64,25.08,44.44,74.26,2.93,Low Value Customers
C100415,425,3,986.79,61.28,70.4,44.23,2.71,Low Value Customers
C100420,744,1,1800.51,18.52,14.65,66.2,2.23,Low Value Customers
C100421,712,2,1200.32,21.48,44.44,48.18,2.16,Low Value Customers
C100439,414,6,5107.33,63.61,98.47,94.42,4.55,Top Customers
C100440,345,2,219.86,78.99,44.44,22.63,1.86,Low Value Customers
C100441,961,1,2400.68,4.59,14.65,74.95,2.38,Low Value Customers
C100444,318,2,1581.72,83.47,44.44,62.18,3.02,Medium Value Customer
C100446,638,2,5850.16,28.82,44.44,96.84,3.6,Medium Value Customer
